x,y,title,tokens,word,poem_title,author,period,link
0.01983931,-0.022192933,"is rondagui, whom i killed and my **heart** regrets for ever. from the persian of ronda","is ron ##da ##gui , whom i killed and my heart regrets for ever . from the persian of ron ##da",heart,A Request,Edward Powys Mathers (As Translator),20th Century,http://public-domain-poetry.com/edward-powys-mathers/a-request-25818
0.017195096,0.028739596,"white shirt, wished the beard was gone, the **head** combed. the fingers were clean, the nails","white shirt , wished the beard was gone , the head comb ##ed . the fingers were clean , the nails",head,Warrior's Longing,Alfred Lichtenstein,20th Century,http://public-domain-poetry.com/alfred-lichtenstein/warriors-longing-23916
0.017230675,0.019656355,"teeth of the squall, with a bright **eye** for huns, and a hotchkiss","teeth of the sq ##ual ##l , with a bright eye for hu ##ns , and a hot ##ch ##kis ##s",eye,Cap'n Storm-Along,Alfred Noyes,20th Century,http://public-domain-poetry.com/alfred-noyes/capn-storm-along-28032
0.019634433,-0.014313842,"half afraid. play on, o furtive and heartbroken faun! what is your thin dull pipe","half afraid . play on , o fur ##tive and heart ##broken fa ##un ! what is your thin dull pipe",heart,Pavlovna In London,James Elroy Flecker,20th Century,http://public-domain-poetry.com/james-elroy-flecker/pavlovna-in-london-15896
0.020492151,-0.01437831,a wild unsighted atom borne deep in the **heart** of some heroic boy span in the dance ten thousand,a wild un ##sight ##ed atom borne deep in the heart of some heroic boy span in the dance ten thousand,heart,Pavlovna In London,James Elroy Flecker,20th Century,http://public-domain-poetry.com/james-elroy-flecker/pavlovna-in-london-15896
0.020441445,-0.022555802,"singing wild sea songs, dear, they start my **heart** to aching, for its love to thee belongs.","singing wild sea songs , dear , they start my heart to aching , for its love to thee belongs .",heart,Floating With The Gale,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/floating-with-the-gale-21471
0.020258635,-0.024339573,"with a spell of bitter wail, and my **heart** is sadly breaking, for i 'm floating with","with a spell of bitter wai ##l , and my heart is sadly breaking , for i ' m floating with",heart,Floating With The Gale,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/floating-with-the-gale-21471
0.020768613,-0.022542393,never come thy ruby lips to kiss! but my **heart** will cling forever to that love i oft,never come thy ruby lips to kiss ! but my heart will cl ##ing forever to that love i of ##t,heart,Floating With The Gale,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/floating-with-the-gale-21471
0.020728918,-0.020049967,"m floating with the gale! chorus dear, my **heart** is ever longing, longs surfmen my bark","m floating with the gale ! chorus dear , my heart is ever longing , long ##s surf ##men my bark",heart,Floating With The Gale,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/floating-with-the-gale-21471
0.020961827,-0.019349376,"a grave beneath the wave; of loved ones my **heart** is wronging, and the belly of the whale","a grave beneath the wave ; of loved ones my heart is wrong ##ing , and the belly of the whale",heart,Floating With The Gale,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/floating-with-the-gale-21471
0.020708278,-0.024026666,"uid breast is burning light and love full out my **heart**! but cruel fate my hopes is spurning,","##uid breast is burning light and love full out my heart ! but cruel fate my hopes is spur ##ning ,",heart,Floating With The Gale,Edward Smyth Jones,20th Century,http://public-domain-poetry.com/edward-smyth-jones/floating-with-the-gale-21471
0.017608153,0.007857485,"near to breast, and round its soft desire my **arm** uncertain stole and clung there unrepelled.","near to breast , and round its soft desire my arm uncertain stole and clung there un ##re ##pel ##led .",arm,Do You Remember Once . . ,Alan Seeger,20th Century,http://public-domain-poetry.com/alan-seeger/do-you-remember-once-30821
0.021228325,-0.019151982,repelled. i thought that nevermore my **heart** would hover nigher to the last flower,##re ##pel ##led . i thought that never ##more my heart would hove ##r ni ##gh ##er to the last flower,heart,Do You Remember Once . . ,Alan Seeger,20th Century,http://public-domain-poetry.com/alan-seeger/do-you-remember-once-30821
0.01789816,0.022081122,"forth once more as then you shone,-beloved **head**, laid back in ecstasy between our blinding kisses,","forth once more as then you shone , - beloved head , laid back in ecstasy between our blinding kisses ,",head,Do You Remember Once . . ,Alan Seeger,20th Century,http://public-domain-poetry.com/alan-seeger/do-you-remember-once-30821
0.016520824,0.0171833,"-eyed scribbling fools, grew fair, **ringed** round and haloed with holy light. flame","- eyed sc ##ri ##bbling fools , grew fair , ring ##ed round and halo ##ed with holy light . flame",ring,In Examination,Rupert Brooke,20th Century,http://public-domain-poetry.com/rupert-brooke/in-examination-9640
0.017843971,0.020009201,"a white piece of lifeless satin cloth saw ever curious **eye** so strange a sight? portent in little,","a white piece of lifeless satin cloth saw ever curious eye so strange a sight ? porte ##nt in little ,",eye,In White,Robert Lee Frost,20th Century,http://public-domain-poetry.com/robert-lee-frost/in-white-1258
0.01668805,0.027842332,"feet of many men, and the fresh-severed **head** of it, my **head**. it snowed in","feet of many men , and the fresh - severed head of it , my head . it snow ##ed in",head,,,,
0.01623087,0.027727233,"and the fresh-severed **head** of it, my **head**. it snowed in spring on earth so dry","and the fresh - severed head of it , my head . it snow ##ed in spring on earth so dry",head,Our Singing Strength,Robert Lee Frost,20th Century,http://public-domain-poetry.com/robert-lee-frost/our-singing-strength-1209
0.020913089,-0.021296734,"beauty to their bloom, so love awakes her **heart** that lies shrouded in fragrant memories,","beauty to their bloom , so love awake ##s her heart that lies sh ##roud ##ed in fra ##grant memories ,",heart,The New Spring,Theodosia Garrison,20th Century,http://public-domain-poetry.com/theodosia-garrison/new-spring-16108
0.018529216,0.017599568,"that but flash and sparkle and light not the inward **eye** and musing thought, nor reach where, pop","that but flash and sparkle and light not the inward eye and mu ##sing thought , nor reach where , pop",eye,Sonnet LX.[1],Anna Seward,18th Century,http://public-domain-poetry.com/anna-seward/sonnet-lx1-31150
